Year_Month,EPU_Index,EPU_Index_Detrended
2000-02,0.0,50.07031957983539
2000-03,0.0,49.73314571061091
2000-04,0.0,49.39597184138643
2000-05,0.0,49.05879797216195
2000-06,0.0,48.72162410293747
2000-08,0.0,48.38445023371299
2000-09,0.0,48.0472763644885
2000-11,0.0,47.710102495264024
2001-01,0.0,47.372928626039545
2001-05,0.0,47.03575475681506
2001-06,0.0,46.69858088759058
2002-01,0.0,46.3614070183661
2002-02,0.0,46.02423314914162
2002-03,0.0,45.687059279917136
2002-04,0.0,45.34988541069266
2002-05,0.0,45.01271154146818
2002-06,446.723218742211,491.3987564144547
2002-07,0.0,44.33836380301921
2002-09,0.0,44.001189933794734
2002-10,0.0,43.66401606457025
2002-11,0.0,43.32684219534577
2002-12,0.0,42.98966832612129
2003-02,0.0,42.65249445689681
2003-03,0.0,42.315320587672325
2003-05,0.0,41.978146718447846
2003-06,0.0,41.64097284922337
2003-07,0.0,41.30379897999889
2003-08,0.0,40.9666251107744
2003-09,0.0,40.62945124154992
2003-10,0.0,40.292277372325444
2003-11,0.0,39.95510350310096
2003-12,0.0,39.61792963387648
2004-01,0.0,39.280755764652
2004-02,0.0,38.94358189542751
2004-03,0.0,38.606408026203034
2004-04,38.29056160647523,76.55979576345379
2004-05,83.9939199584937,121.92598024624778
2004-06,0.0,37.59488641852959
2004-07,47.35581824122377,84.61353079052888
2004-08,0.0,36.92053868008063
2004-09,0.0,36.58336481085615
2004-10,39.18624725808868,75.43243819972034
2004-11,56.15235989776395,92.06137697017112
2004-12,34.77948934844203,70.35133255162474
2005-01,0.0,35.23466933395822
2005-02,0.0,34.89749546473374
2005-03,0.0,34.560321595509265
2005-04,0.0,34.22314772628478
2005-05,30.184001266365605,64.0699751234259
2005-06,22.018121405694956,55.56692139353078
2005-07,26.767702854060577,59.97932897267191
2005-08,45.68760191681703,78.5620541662039
2005-09,0.0,32.53727838016238
2005-10,56.10012514437068,88.30022965530857
2005-11,36.81784769853387,68.68077834024729
2005-12,13.844727853580919,45.37048462606985
2006-01,37.2039694819238,68.39255238518825
2006-02,69.27930445743651,100.13071349147648
2006-03,19.404000814092175,49.91823597890766
2006-04,27.369019528113668,57.546080823704685
2006-05,45.41237539924584,75.25226282561238
2006-06,93.70359622467134,123.20630978181339
2006-07,33.54150974983231,62.70704943774988
2006-08,14.206745472367132,43.03511129106022
2006-09,72.5247600122645,101.0159519617331
2006-10,79.04811946890302,107.20213754914715
2006-11,60.67166451730229,88.48850872832193
2006-12,58.81376490169541,86.29343524349056
2007-01,65.51940541552426,92.66190188809495
2007-02,24.627926301255123,51.43324890460132
2007-03,26.93988855990283,53.40803729402454
2007-04,43.57937872523891,69.71035359013615
2007-05,54.65348326183748,80.44728425751023
2007-06,50.74070520362422,76.1973323300725
2007-07,31.64331322325083,56.762766480474625
2007-08,91.60653346359263,116.38881285159194
2007-09,100.51272421699747,124.9578297357723
2007-10,34.12995728930304,58.237888938853395
2007-11,46.494531807694365,70.26528958802024
2007-12,58.62509432312479,82.05867823422616
2008-01,120.46468820014678,143.5610982420237
2008-02,125.2495005819283,148.00873675458072
2008-03,71.6412859707751,94.06334827420305
2008-04,107.00266868738449,129.08755712158796
2008-05,76.85928060944175,98.60699517442073
2008-06,53.71934105890301,75.12988175465752
2008-07,91.4294109943026,112.50277782083262
2008-08,75.744328724188,96.48052168149354
2008-09,129.55055597845373,149.9495750665348
2008-10,89.54362959197992,109.6054748108365
2008-11,148.10500244014003,167.82967378977213
2008-12,159.76048431466936,179.147981795077
2009-01,138.16182022954976,157.2121438407329
2009-02,141.27460204125316,159.98775178321182
2009-03,150.22550718764614,168.6014830603803
2009-04,171.8982456917771,189.9370476952868
2009-05,92.9737646085237,110.67539274280891
2009-06,125.0723943876665,142.43684865272724
2009-07,84.9745253042249,102.00180570006114
2009-08,124.73140543991413,141.42151196652588
2009-09,143.3723751528384,159.72530781022567
2009-10,135.95471092784172,151.97046971600452
2009-11,133.4715978036805,149.15018272261884
2009-12,120.20177495455329,135.5431860042671
2010-01,225.928984191463,240.93322137195236
2010-02,189.3087704774195,203.97583378868438
2010-03,169.5441773259685,183.8740667680089
2010-04,264.44819303468677,278.4409086075027
2010-05,234.7430926511618,248.39863435475323
2010-06,217.40996774209484,230.7283355764618
2010-07,140.76864702633372,153.7498409914762
2010-08,148.94221694577072,161.58623704168872
2010-09,201.10431287041473,213.41115909710825
2010-10,134.45233508866468,146.4220074461337
2010-11,216.8120778526403,228.44457634088485
2010-12,157.72592628858186,169.02125090760194
2011-01,92.72391532933345,103.68206607912903
2011-02,79.26195217452911,89.88292905510022
2011-03,94.613840872786,104.89764388413263
2011-04,87.15262322490666,97.09925236702881
2011-05,128.65354238885246,138.26299766175012
2011-06,176.39879336086958,185.67107476454277
2011-07,169.6417286362826,178.57683617073133
2011-08,92.357732907114,100.95566657233822
2011-09,234.31562371429214,242.5763835102919
2011-10,183.13332279675222,191.0569087235275
2011-11,150.6193227943087,158.20573485185946
2011-12,101.01781328341453,108.26705147174083
2012-01,122.56625520489126,129.4783195239931
2012-02,154.95281225641952,161.52770270629685
2012-03,83.25010757150906,89.48782415216192
2012-04,108.74790659850223,114.6484493099306
2012-05,107.17784654928086,112.74121539148474
2012-06,156.997803530794,162.2239985037734
2012-07,117.8684223482805,122.75744345203543
2012-08,84.5297088583691,89.08155609289955
2012-09,84.65779207144344,88.87246543674941
2012-10,139.89785701959823,143.77535651567973
2012-11,167.18872944137183,170.72905506822883
2012-12,187.34368252815116,190.5468342857837
2013-01,105.58815484177842,108.45413273018647
2013-02,116.36784279826044,118.896646817444
2013-03,149.28843869580825,151.48006884576733
2013-04,114.76006408839746,116.61452036913207
2013-05,113.48626804074642,115.00355045225653
2013-06,121.30618690756614,122.48629544985178
2013-07,123.78731911265884,124.63025378572
2013-08,103.43319078020319,103.93895158403987
2013-09,95.27272437630091,95.44131131091311
2013-10,151.85823349193424,151.68964655732196
2013-11,122.57649294755788,122.07073214372112
2013-12,77.80514775971707,76.96221308665582
2014-01,129.96763389979878,128.78752535751306
2014-02,132.12681808615304,130.6095356746428
2014-03,118.82497280349102,116.97051652275633
2014-04,121.89927475447743,119.70764460451826
2014-05,108.71350373811153,106.18469971892787
2014-06,92.39091794208831,89.52494005368017
2014-07,125.89381695709814,122.69066519946553
2014-08,92.94997615695436,89.40965053009727
2014-09,91.72452327115317,87.84702377507159
2014-10,108.11694967765952,103.90227631235346
2014-11,86.0380821595648,81.48623492503425
2014-12,165.62343846261166,160.73441735885663
2015-01,136.1793282900569,130.9531333170774
2015-02,124.96637088295815,119.40300204075416
2015-03,134.82592114956066,128.92537843813219
2015-04,238.1575376351787,231.91982105452576
2015-05,234.68081005825888,228.10591960838144
2015-06,247.09710156438712,240.1850372452852
2015-07,160.60166711537926,153.35242892705287
2015-08,157.0219236419525,149.43551158440164
2015-09,142.21402394740983,134.29043802063447
2015-10,96.45845478914136,88.19769499314152
2015-11,105.32344367116697,96.72551000594267
2015-12,122.40425431578146,113.46914678133265
2016-01,118.78350241784803,109.51122101417475
2016-02,113.03334038243659,103.42388510953884
2016-03,115.54934261823942,105.60271347611719
2016-04,148.21835189749282,137.9345488861461
2016-05,148.16809210004433,137.54711521947314
2016-06,181.21284414122135,170.2546933914257
2016-07,209.080176546866,197.78485192784584
2016-08,173.1201319300346,161.48763344178997
2016-09,121.37385565826109,109.40418330079197
2016-10,180.5711012725988,168.2642550459052
2016-11,178.81477154709285,166.17075145117477
2016-12,191.65561821037653,178.67442424523398
2017-01,170.53397390057253,157.21560606620548
2017-02,196.6909624105042,183.03542070691267
2017-03,180.62704894146714,166.63433336865114
2017-04,171.0112321747526,156.6813427327121
2017-05,130.7988975093383,116.13183419807334
2017-06,135.24057078692596,120.23633360643652
2017-07,70.1601199453863,54.81870889567236
2017-08,65.65672667392725,49.97814175498884
2017-09,141.94484825874426,125.92908947058137
2017-10,182.90436757263225,166.55143491524487
2017-11,138.41363399667532,121.72352747006346
2017-12,61.93736135073982,44.91008095490349
2018-01,123.35075341555364,105.98629915049281
2018-02,133.86397821898444,116.16235008469914
2018-03,83.26687365435508,65.22807165084531
2018-04,95.55140144943087,77.1754255766966
2018-05,135.42913264684404,116.7159829048853
2018-06,109.84997182185514,90.79964821067192
2018-07,121.97220989548421,102.5847124150765
2018-08,176.3003932790116,156.5757219293794
2018-09,169.51168514940161,149.44983993054495
2018-10,211.4925366905439,191.09351760246273
2018-11,138.8193652866333,118.08317232932768
2018-12,165.54038194522386,144.46701511869375
2019-01,206.32517347823992,184.9146327824853
2019-02,116.51236920206702,94.76465463708794
2019-03,114.73603630359877,92.65114786939522
2019-04,78.29618244751506,55.874120144087016
2019-05,92.19724218175813,69.4380060091056
2019-06,143.86734220614724,120.77093216427025
2019-07,85.65367384182814,62.220089930726644
2019-08,125.22163639937392,101.45087861904796
2019-09,77.79622617414664,53.6882945245962
2019-10,116.61281626972011,92.1677107509452
2019-11,120.5057184072994,95.72343901929999
2019-12,92.36087323175954,67.24141997453566
2020-01,93.33941715765886,67.8827900312105
2020-02,121.74679812532645,95.9529971296536
2020-03,136.18190878801116,110.05093392311383
2020-04,117.2974275385911,90.8292788044693
2020-05,168.8808409170682,142.07551831372191
2020-06,137.4883014609686,110.34580498839782
2020-07,123.49480649975715,96.0151361579619
2020-08,140.35911837905,112.54227416803025
2020-09,163.9041856475272,135.750167567283
2020-10,110.69362469920023,82.20243274973154
2020-11,109.42511159564256,80.59674577694938
2020-12,75.92742424610776,46.761884558190104
2021-01,69.21682926896038,39.71411571181825
2021-02,106.99957335142778,77.15968592506115
2021-03,115.68529569021399,85.50823439462289
2021-04,58.09100411020386,27.576768945388295
2021-05,81.65383001537053,50.80242098133046
2021-06,67.13053833557815,35.941955432313605
2021-07,69.65328885179095,38.12753207930193
2021-08,75.14230809061388,43.27937744890036
2021-09,99.27973397250027,67.07962946156228
2021-10,111.19025942339071,78.65298104322825
2021-11,124.91729896625937,92.0428467168724
2021-12,108.88745016338741,75.67582404477598
2022-01,123.00217615442057,89.45337616658466
2022-02,130.5571998272414,96.67122597018101
2022-03,100.66524731899595,66.44209959271107
2022-04,145.3521823215366,110.79186072602724
2022-05,126.82993592050154,91.93244045576772
2022-06,139.00863949545462,103.7739701614963
2022-07,134.0169656226633,98.4451224194805
2022-08,132.2255230522776,96.31650597987033
2022-09,172.78220361268984,136.53601267105807
2022-10,164.52725861476117,127.94389380390493
2022-11,142.52422560035913,105.60368692027842
2022-12,110.41309873708984,73.15538618778463
2023-01,93.5350122994579,55.94012588092822
2023-02,97.68000409815109,59.74794381039693
2023-03,289.17182462158684,250.90259046460818
2023-04,158.22386455955203,119.6174565333489
2023-05,215.692541238192,176.7489593427644
2023-06,68.05450577039512,28.773750005743025
2023-07,115.87558388720423,76.25765425332766
2023-08,75.64038564360145,35.685282140500405
2023-09,99.42639874918233,59.13412137685678
2023-10,77.1421570826424,36.512705841092384
2023-11,114.05699201928792,73.09036690851343
2023-12,94.71163648244755,53.40783750244856
2024-01,53.38308569946755,11.742112850244098
2024-02,94.10202384271267,52.12387712426474
2024-03,79.25884042842713,36.9435198407547
2024-04,97.30525470989355,54.65276025299664
2024-05,111.61665718142548,68.6269888553041
2024-06,122.00759098100369,78.68074878565781
2024-07,60.282812195764926,16.618796131194586
2024-08,86.94476485877313,42.94357492497831
2024-09,81.89925676940534,37.56089296638605
2024-10,104.08867381750196,59.413136145258164
2024-11,151.12052941716402,106.10781787569576
2024-12,87.20455137649724,41.8546659658045
2025-01,67.9275019554346,22.240442675517357
2025-02,86.7236619646225,40.699428815480786
2025-03,130.94744487190255,84.58603785353637
2025-04,143.5310219336969,96.83244104610623
2025-05,106.57656315513442,59.54080839831927
2025-06,98.12362720674625,50.750698580706626
2025-07,53.863278049300064,6.15317555403594
2025-08,86.1682456726655,38.12096930817691
2025-09,73.1982276781507,24.813777444437633
2025-10,73.52230067845821,24.80067657552064
2025-11,100.15217638202219,51.09337840986015
2025-12,94.99867092627662,45.602699084890105
2026-01,104.94124474524689,55.20809903463588
2026-02,76.35014797537787,26.27982839554238
